"","...1","rank","name","Net Worth","AGE","country","Source","industry","soccer_team"
"79",78,79,"Huang Shilin","$20.3 B",55,"China","batteries","Automotive",NA
"80",79,80,"Thomas Peterffy","$20.1 B",77,"United States","discount brokerage","Finance & Investments",NA
"81",80,81,"Radhakishan Damani","$20 B",67,"India","retail, investments","Fashion & Retail",NA
"82",81,82,"Pang Kang","$19.6 B",66,"China","soy sauce","Food & Beverage",NA
"83",82,83,"Wang Chuanfu","$19.5 B",56,"China","batteries, automobiles","Automotive",NA
"84",83,84,"Reinhold Wuerth & family","$19 B",86,"Germany","fasteners","Manufacturing",NA
"85",84,85,"Theo Albrecht, Jr. & family","$18.7 B",71,"Germany","Aldi, Trader Joe's","Fashion & Retail",NA
"86",85,85,"Yang Huiyan & family","$18.7 B",40,"China","real estate","Real Estate",NA
"87",86,87,"Vladimir Lisin","$18.4 B",65,"Russia","steel, transport","Metals & Mining",NA
"88",87,88,"Fan Hongwei & family","$18.2 B",55,"China","petrochemicals","Energy",NA
"89",88,89,"Lakshmi Mittal","$17.9 B",71,"India","steel","Metals & Mining",NA
"90",89,90,"Andrew Forrest","$17.8 B",60,"Australia","mining","Metals & Mining",NA
"91",90,91,"Jiang Rensheng & family","$17.7 B",68,"China","vaccines","Healthcare",NA
"92",91,91,"Savitri Jindal & family","$17.7 B",72,"India","steel","Metals & Mining",NA
"93",92,91,"Wang Wenyin","$17.7 B",54,"China","mining, copper products","Metals & Mining",NA
"94",93,94,"Li Xiting","$17.6 B",71,"Singapore","medical devices","Healthcare",NA
"95",94,94,"Stefan Persson","$17.6 B",74,"Sweden","H&M","Fashion & Retail",NA
"96",95,96,"Steve Cohen","$17.4 B",65,"United States","hedge funds","Finance & Investments",NA
"97",96,97,"Vladimir Potanin","$17.3 B",61,"Russia","metals","Metals & Mining",NA
"98",97,98,"Harold Hamm & family","$17.2 B",76,"United States","oil & gas","Energy",NA
"99",98,99,"Sun Piaoyang","$17.1 B",63,"China","pharmaceuticals","Healthcare",NA
"100",99,100,"Luo Liguo & family","$17 B",66,"China","chemicals","Manufacturing",NA
"101",100,100,"Peter Woo","$17 B",75,"Hong Kong","real estate","Real Estate",NA
"102",101,102,"Gianluigi & Rafaela Aponte","$16.8 B",81,"Switzerland","Shipping","Logistics",NA
"103",102,103,"David Tepper","$16.7 B",64,"United States","hedge funds","Finance & Investments",NA
"104",103,104,"Renata Kellnerova & family","$16.6 B",54,"Czechia","finance, telecommunications","Finance & Investments",NA
"105",104,104,"John Menard, Jr.","$16.6 B",82,"United States","home improvement stores","Fashion & Retail",NA
"106",105,106,"Kumar Birla","$16.5 B",54,"India","commodities","Diversified",NA
"107",106,106,"Carl Icahn","$16.5 B",86,"United States","investments","Finance & Investments",NA
"108",107,106,"Hank & Doug Meijer","$16.5 B",64,"United States","supermarkets","Fashion & Retail",NA
"109",108,106,"Lukas Walton","$16.5 B",35,"United States","Walmart","Fashion & Retail",NA
"110",109,110,"Laurene Powell Jobs & family","$16.4 B",58,"United States","Apple, Disney","Technology",NA
"111",110,111,"James Ratcliffe","$16.3 B",69,"United Kingdom","chemicals","Manufacturing",NA
"112",111,112,"Donald Bren","$16.2 B",89,"United States","real estate","Real Estate",NA
"113",112,113,"Xu Hang","$16.1 B",55,"Hong Kong","medical devices","Healthcare",NA
"114",113,114,"Lu Xiangyang","$15.7 B",59,"China","automobiles, batteries","Automotive",NA
"115",114,115,"Dilip Shanghvi","$15.6 B",66,"India","pharmaceuticals","Healthcare",NA
"116",115,116,"Wei Jianjun & family","$15.5 B",58,"China","automobiles","Automotive",NA
"117",116,117,"Jorge Paulo Lemann & family","$15.4 B",82,"Brazil","beer","Food & Beverage",NA
"118",117,117,"Eyal Ofer","$15.4 B",71,"Israel","real estate, shipping","Diversified",NA
"119",118,119,"Mike Cannon-Brookes","$15.3 B",42,"Australia","software","Technology",NA
"120",119,119,"Wu Yajun","$15.3 B",58,"China","real estate","Real Estate",NA
"121",120,121,"Charlene de Carvalho-Heineken & family","$15.2 B",67,"Netherlands","Heineken","Food & Beverage",NA
"122",121,121,"Michael Platt","$15.2 B",54,"United Kingdom","hedge funds","Finance & Investments",NA
"123",122,123,"Pavel Durov","$15.1 B",37,"Russia","messaging app","Technology",NA
"124",123,123,"Scott Farquhar","$15.1 B",42,"Australia","software","Technology",NA
"125",124,125,"Pallonji Mistry","$15 B",92,"Ireland","construction","Construction & Engineering",NA
"126",125,126,"Dang Yanbao","$14.8 B",49,"China","coal","Metals & Mining",NA
"127",126,127,"Robert Pera","$14.6 B",44,"United States","wireless networking gear","Technology",NA
"128",127,128,"Donald Newhouse","$14.4 B",92,"United States","media","Media & Entertainment",NA
"129",128,129,"Uday Kotak","$14.3 B",63,"India","banking","Finance & Investments",NA
"130",129,130,"Aliko Dangote","$14 B",64,"Nigeria","cement, sugar","Manufacturing",NA
"131",130,130,"Leonid Mikhelson","$14 B",66,"Russia","gas, chemicals","Energy",NA
"132",131,132,"Sunil Mittal & family","$13.9 B",64,"India","telecom","Telecom",NA
"133",132,133,"Robert & Philip Ng","$13.7 B",64,"Singapore","real estate","Real Estate",NA
"134",133,134,"Liu Hanyuan","$13.65 B",58,"China","agribusiness","Food & Beverage",NA
"135",134,135,"Joseph Lau","$13.6 B",70,"Hong Kong","real estate","Real Estate",NA
"136",135,135,"Anders Holch Povlsen","$13.6 B",49,"Denmark","fashion retail","Fashion & Retail",NA
"137",136,137,"Dhanin Chearavanont","$13.5 B",82,"Thailand","diversified","Diversified",NA
"138",137,138,"Gong Hongjia & family","$13.2 B",57,"Hong Kong","video surveillance","Finance & Investments",NA
"139",138,138,"Liu Yongxing","$13.2 B",73,"China","diversified","Service",NA
"140",139,138,"Alexey Mordashov","$13.2 B",56,"Russia","steel, investments","Metals & Mining",NA
"141",140,138,"Wang Jianlin","$13.2 B",67,"China","real estate","Real Estate",NA
"142",141,142,"David Duffield","$12.9 B",81,"United States","business software","Technology",NA
"143",142,142,"Li Zhenguo & family","$12.9 B",54,"China","solar wafers and modules","Manufacturing",NA
"144",143,144,"Harry Triguboff","$12.8 B",89,"Australia","real estate","Real Estate",NA
"145",144,144,"Zhang Zhidong","$12.8 B",50,"China","internet media","Technology",NA
"146",145,146,"Chen Bang","$12.7 B",56,"China","hospitals","Healthcare",NA
"147",146,146,"John Doerr","$12.7 B",70,"United States","venture capital","Technology",NA
"148",147,146,"Hinduja brothers","$12.7 B",64,"United Kingdom","diversified","Diversified",NA
"149",148,149,"Kwong Siu-hing","$12.6 B",92,"Hong Kong","real estate","Real Estate",NA
"150",149,150,"Pei Zhenhua","$12.5 B",63,"China","batteries","Energy",NA
"151",150,151,"Ricardo Salinas Pliego & family","$12.4 B",66,"Mexico","retail, media","Fashion & Retail",NA
"152",151,152,"Jim Pattison","$12.2 B",93,"Canada","diversified","Diversified",NA
"153",152,152,"Charles Schwab","$12.2 B",84,"United States","discount brokerage","Finance & Investments",NA
"154",153,154,"Goh Cheng Liang","$12.1 B",94,"Singapore","paints","Manufacturing",NA
"155",154,154,"Lin Jianhua & family","$12.1 B",59,"China","solar panel components","Manufacturing",NA
"156",155,156,"Charoen Sirivadhanabhakdi","$12 B",77,"Thailand","alcohol, real estate","Food & Beverage",NA
"157",156,156,"Jeff Yass","$12 B",63,"United States","trading, investments","Finance & Investments",NA
"158",157,158,"John Fredriksen","$11.9 B",77,"Cyprus","shipping","Logistics",NA
"159",158,158,"Andreas Struengmann & family","$11.9 B",72,"Germany","pharmaceuticals","Healthcare",NA
"160",159,158,"Thomas Struengmann & family","$11.9 B",72,"Germany","pharmaceuticals","Healthcare",NA
"161",160,161,"Mikhail Fridman","$11.8 B",57,"Russia","oil, banking, telecom","Energy",NA
"162",161,161,"Sarath Ratanavadi","$11.8 B",56,"Thailand","energy","Energy",NA
"163",162,163,"Robert Kuok","$11.7 B",98,"Malaysia","palm oil, shipping, property","Diversified",NA
"164",163,163,"Lei Jun","$11.7 B",52,"China","smartphones","Technology",NA
"165",164,163,"Zhang Congyuan","$11.7 B",74,"Taiwan","shoes","Fashion & Retail",NA
"166",165,166,"Lui Che Woo","$11.6 B",93,"Hong Kong","casinos/hotels","Gambling & Casinos",NA
"167",166,167,"Brian Chesky","$11.5 B",40,"United States","Airbnb","Technology",NA
"168",167,167,"Israel Englander","$11.5 B",73,"United States","hedge funds","Finance & Investments",NA
"169",168,167,"Dustin Moskovitz","$11.5 B",37,"United States","Facebook","Technology",NA
"170",169,167,"Alisher Usmanov","$11.5 B",68,"Russia","steel, telecom, investments","Metals & Mining",NA
"171",170,171,"Jay Chaudhry","$11.4 B",62,"United States","security software","Technology",NA
"172",171,171,"Anthony Pratt","$11.4 B",61,"Australia","manufacturing","Manufacturing",NA
"173",172,173,"Colin Zheng Huang","$11.3 B",42,"China","e-commerce","Technology",NA
"174",173,173,"Jin Baofang","$11.3 B",69,"China","solar panels","Energy",NA
"175",174,173,"Pierre Omidyar","$11.3 B",54,"United States","eBay, PayPal","Technology",NA
"176",175,173,"Gennady Timchenko","$11.3 B",69,"Russia","oil, gas","Energy",NA
"177",176,177,"Carl Cook","$11.1 B",59,"United States","medical devices","Healthcare",NA
"178",177,177,"Andrey Melnichenko","$11.1 B",50,"Russia","coal, fertilizers","Metals & Mining",NA
"179",178,179,"Xing Wang","$11 B",43,"China","e-commerce","Technology",NA
"180",179,180,"Philip Anschutz","$10.9 B",82,"United States","investments","Finance & Investments",NA
"181",180,180,"David Cheriton","$10.9 B",71,"Canada","Google","Technology",NA
"182",181,180,"Alexander Otto","$10.9 B",54,"Germany","real estate","Real Estate",NA
"183",182,183,"Diane Hendricks","$10.7 B",75,"United States","roofing","Construction & Engineering",NA
"184",183,183,"Stanley Kroenke","$10.7 B",74,"United States","sports, real estate","Sports",NA
"185",184,185,"Jerry Jones","$10.6 B",79,"United States","Dallas Cowboys","Sports",NA
"186",185,185,"Quek Leng Chan","$10.6 B",80,"Malaysia","banking, property","Diversified",NA
"187",186,185,"Eduardo Saverin","$10.6 B",40,"Brazil","Facebook","Technology",NA
"188",187,188,"Vagit Alekperov","$10.5 B",71,"Russia","oil","Energy",NA
"189",188,188,"Richard Liu","$10.5 B",48,"China","e-commerce","Technology",NA
"190",189,188,"Idan Ofer","$10.5 B",66,"Israel","drilling, shipping","Diversified",NA
"191",190,191,"Melker Schorling & family","$10.4 B",74,"Sweden","investments","Finance & Investments",NA
"192",191,192,"Chase Coleman, III.","$10.3 B",46,"United States","investments","Finance & Investments",NA
"193",192,192,"Shuirong Li","$10.3 B",65,"China","petrochemicals","Manufacturing",NA
"194",193,192,"Stefano Pessina","$10.3 B",80,"Monaco","drugstores","Fashion & Retail",NA
"195",194,192,"Mikhail Prokhorov","$10.3 B",56,"Russia","investments","Finance & Investments",NA
"196",195,192,"Marcel Herrmann Telles","$10.3 B",72,"Brazil","beer","Food & Beverage",NA
"197",196,197,"Leon Black","$10 B",70,"United States","private equity","Finance & Investments",NA
"198",197,197,"Joe Gebbia","$10 B",40,"United States","Airbnb","Technology",NA
"199",198,197,"David Geffen","$10 B",79,"United States","movies, record labels","Media & Entertainment",NA
"200",199,197,"Yu Renrong","$10 B",56,"China","semiconductors","Manufacturing",NA
"201",200,201,"Andrew Beal","$9.9 B",69,"United States","banks, real estate","Finance & Investments",NA
"202",201,201,"George Kaiser","$9.9 B",79,"United States","oil & gas, banking","Energy",NA
"203",202,201,"Qi Shi & family","$9.9 B",52,"China","financial information","Technology",NA
"204",203,201,"Luis Carlos Sarmiento","$9.9 B",89,"Colombia","banking","Finance & Investments",NA
"205",204,201,"Andreas von Bechtolsheim & family","$9.9 B",66,"Germany","Google","Technology",NA
"206",205,206,"Jan Koum","$9.8 B",46,"United States","WhatsApp","Technology",NA
"207",206,206,"Jorge Moll Filho & family","$9.8 B",77,"Brazil","hospitals","Healthcare",NA
"208",207,206,"Azim Premji","$9.8 B",76,"India","software services","Technology",NA
"209",208,206,"Finn Rausing","$9.8 B",67,"Sweden","packaging","Food & Beverage",NA
"210",209,206,"Jorn Rausing","$9.8 B",62,"Sweden","packaging","Food & Beverage",NA
"211",210,206,"Kirsten Rausing","$9.8 B",69,"Sweden","packaging","Food & Beverage",NA
"212",211,206,"Wang Laisheng","$9.8 B",57,"China","electronics components","Technology",NA
"213",212,213,"Tom & Judy Love","$9.7 B",64,"United States","retail & gas stations","Fashion & Retail",NA
"214",213,214,"John Collison","$9.5 B",31,"Ireland","payments software","Technology",NA
"215",214,214,"Patrick Collison","$9.5 B",33,"Ireland","payment software","Technology",NA
"216",215,214,"Gordon Moore","$9.5 B",93,"United States","Intel","Technology",NA
"217",216,214,"Wang Laichun","$9.5 B",54,"China","electronics components","Technology",NA
"218",217,218,"Graeme Hart","$9.4 B",66,"New Zealand","investments","Finance & Investments",NA
"219",218,218,"Zheng Shuliang & family","$9.4 B",76,"China","aluminum products","Metals & Mining",NA
"220",219,220,"Cao Renxian","$9.3 B",53,"China","photovoltaic equipment","Energy",NA
"221",220,221,"Nathan Blecharczyk","$9.2 B",38,"United States","Airbnb","Technology",NA
"222",221,221,"James Dyson","$9.2 B",74,"United Kingdom","vacuums","Manufacturing",NA
"223",222,223,"Ivan Glasenberg","$9.1 B",65,"Switzerland","mining","Metals & Mining",NA
"224",223,223,"Kim Beom-su","$9.1 B",56,"South Korea","online services","Technology",NA
"225",224,223,"Jay Y. Lee","$9.1 B",53,"South Korea","Samsung","Diversified",NA
"226",225,223,"Liu Yonghao & family","$9.1 B",70,"China","agribusiness","Service",NA
"227",226,227,"Ann Walton Kroenke","$9 B",73,"United States","Walmart","Fashion & Retail",NA
"228",227,227,"Li Ping","$9 B",54,"Hong Kong","batteries","Automotive",NA
"229",228,227,"Eric Wittouck","$9 B",75,"Belgium","investments","Finance & Investments",NA
"230",229,230,"Ian & Richard Livingstone","$8.9 B",64,"United Kingdom","real estate","Real Estate",NA
"231",230,230,"Friedhelm Loh","$8.9 B",75,"Germany","manufacturing","Manufacturing",NA
"232",231,230,"Xavier Niel","$8.9 B",54,"France","internet, telecom","Telecom",NA
"233",232,230,"Michael Otto","$8.9 B",78,"Germany","retail, real estate","Fashion & Retail",NA
"234",233,230,"Johann Rupert & family","$8.9 B",71,"South Africa","luxury goods","Fashion & Retail",NA
"235",234,235,"Hui Ka Yan","$8.8 B",63,"China","real estate","Real Estate",NA
"236",235,235,"Pauline MacMillan Keinath","$8.8 B",88,"United States","Cargill","Food & Beverage",NA
"237",236,235,"Herbert Kohler, Jr. & family","$8.8 B",83,"United States","plumbing fixtures","Manufacturing",NA
"238",237,235,"Li Ge","$8.8 B",55,"United States","pharmaceutical ingredients","Healthcare",NA
"239",238,235,"Kushal Pal Singh","$8.8 B",90,"India","real estate","Real Estate",NA
"240",239,235,"Zong Qinghou","$8.8 B",76,"China","beverages","Food & Beverage",NA
"241",240,241,"Cai Kui","$8.7 B",59,"China","real estate","Real Estate",NA
"242",241,241,"Charles Ergen","$8.7 B",69,"United States","satellite TV","Media & Entertainment",NA
"243",242,241,"Gao Jifan & family","$8.7 B",57,"China","solar equipment","Energy",NA
"244",243,241,"Bernard Marcus","$8.7 B",92,"United States","Home Depot","Fashion & Retail",NA
"245",244,241,"Nicky Oppenheimer & family","$8.7 B",76,"South Africa","diamonds","Metals & Mining",NA
"246",245,246,"Bajaj brothers","$8.6 B",64,"India","diversified","Diversified",NA
"247",246,246,"Ernest Garcia, II.","$8.6 B",64,"United States","used cars","Automotive",NA
"248",247,246,"Paul Xiaoming Lee & family","$8.6 B",64,"United States","packaging","Manufacturing",NA
"249",248,246,"George Soros","$8.6 B",91,"United States","hedge funds","Finance & Investments",NA
"250",249,246,"Wang Liping & family","$8.6 B",56,"China","hydraulic machinery","Manufacturing",NA
"251",250,251,"Ernesto Bertarelli","$8.5 B",56,"Switzerland","biotech, investments","Healthcare",NA
"252",251,251,"Tamara Gustavson","$8.5 B",60,"United States","self storage","Service",NA
"253",252,251,"Carlos Alberto Sicupira & family","$8.5 B",74,"Brazil","beer","Food & Beverage",NA
"254",253,254,"Laurent Dassault","$8.4 B",68,"France","diversified","Diversified",NA
"255",254,254,"Thierry Dassault","$8.4 B",65,"France","diversified","Diversified",NA
"256",255,254,"Marie-Hélène Habert-Dassault","$8.4 B",57,"France","diversified","Diversified",NA
"257",256,254,"Liu Jincheng & family","$8.4 B",57,"China","lithium batteries","Technology",NA
"258",257,254,"Ma Jianrong & family","$8.4 B",58,"China","textiles, apparel","Fashion & Retail",NA
"259",258,254,"Steven Rales","$8.4 B",71,"United States","manufacturing, investments","Manufacturing",NA
"260",259,254,"Joseph Tsai","$8.4 B",58,"Canada","e-commerce","Technology",NA
"261",260,254,"Francine von Finck & family","$8.4 B",64,"Germany","investments","Finance & Investments",NA
"262",261,254,"Anthony von Mandl","$8.4 B",72,"Canada","alcoholic beverages","Food & Beverage",NA
"263",262,263,"Carl Bennet","$8.3 B",70,"Sweden","investments","Finance & Investments",NA
"264",263,263,"Robert Kraft","$8.3 B",80,"United States","New England Patriots","Sports",NA
"265",264,263,"Chairul Tanjung","$8.3 B",59,"Indonesia","diversified","Diversified",NA
"266",265,263,"Manuel Villar","$8.3 B",72,"Philippines","real estate","Real Estate",NA
"267",266,267,"Jean-Michel Besnier","$8.2 B",54,"France","cheese","Food & Beverage",NA
"268",267,267,"Marie Besnier Beauvalot","$8.2 B",41,"France","cheese","Food & Beverage",NA
"269",268,267,"Gustaf Douglas","$8.2 B",84,"Sweden","investments","Diversified",NA
"270",269,267,"Kjeld Kirk Kristiansen","$8.2 B",74,"Denmark","Lego","Manufacturing",NA
"271",270,267,"Sofie Kirk Kristiansen","$8.2 B",46,"Denmark","Lego","Manufacturing",NA
"272",271,267,"Thomas Kirk Kristiansen","$8.2 B",43,"Denmark","Lego","Manufacturing",NA
"273",272,267,"Stephen Ross","$8.2 B",81,"United States","real estate","Real Estate",NA
"274",273,267,"Agnete Kirk Thinggaard","$8.2 B",38,"Denmark","Lego","Manufacturing",NA
"275",274,275,"Marc Benioff","$8.1 B",57,"United States","business software","Technology",NA
"276",275,275,"Dmitri Bukhman","$8.1 B",36,"Israel","online games","Media & Entertainment",NA
"277",276,275,"Igor Bukhman","$8.1 B",40,"Israel","online games","Media & Entertainment",NA
"278",277,275,"Francis Choi","$8.1 B",74,"Hong Kong","real estate","Real Estate",NA
"279",278,275,"Murali Divi & family","$8.1 B",71,"India","pharmaceuticals","Healthcare",NA
"280",279,275,"Nancy Walton Laurie","$8.1 B",70,"United States","Walmart","Fashion & Retail",NA
"281",280,275,"Georg Schaeffler","$8.1 B",57,"Germany","auto parts","Automotive",NA
"282",281,275,"Yao Liangsong","$8.1 B",57,"China","furniture","Manufacturing",NA
"283",282,275,"Zhong Huijuan","$8.1 B",61,"China","pharmaceuticals","Healthcare",NA
"284",283,284,"Stewart & Lynda Resnick","$8 B",64,"United States","agriculture, water","Food & Beverage",NA
"285",284,284,"George Roberts","$8 B",78,"United States","private equity","Finance & Investments",NA
"286",285,284,"Michael Rubin","$8 B",49,"United States","online retail","Fashion & Retail",NA
"287",286,284,"Patrick Ryan","$8 B",84,"United States","insurance","Finance & Investments",NA
"288",287,288,"Christopher Hohn","$7.9 B",55,"United Kingdom","hedge funds","Finance & Investments",NA
"289",288,288,"Marijke Mars","$7.9 B",57,"United States","candy, pet food","Food & Beverage",NA
"290",289,288,"Pamela Mars","$7.9 B",61,"United States","candy, pet food","Food & Beverage",NA
"291",290,288,"Valerie Mars","$7.9 B",63,"United States","candy, pet food","Food & Beverage",NA
"292",291,288,"Victoria Mars","$7.9 B",65,"United States","candy, pet food","Food & Beverage",NA
"293",292,288,"Hasso Plattner & family","$7.9 B",78,"Germany","software","Technology",NA
"294",293,288,"Georg Stumpf","$7.9 B",49,"Austria","real estate, construction","Diversified",NA
"295",294,288,"Christy Walton","$7.9 B",73,"United States","Walmart","Fashion & Retail",NA
"296",295,296,"Giorgio Armani","$7.8 B",87,"Italy","luxury goods","Fashion & Retail",NA
"297",296,296,"Gopikishan Damani","$7.8 B",64,"India","retail, investments","Fashion & Retail",NA
"298",297,296,"Ding Shizhong & family","$7.8 B",51,"China","sports apparel","Fashion & Retail",NA
"299",298,296,"Jim Kennedy","$7.8 B",74,"United States","media, automotive","Media & Entertainment",NA
"300",299,296,"German Khan","$7.8 B",60,"Russia","oil, banking, telecom","Energy",NA
"301",300,296,"Liang Wengen","$7.8 B",65,"China","construction equipment","Manufacturing",NA
"302",301,296,"Blair Parry-Okeden","$7.8 B",71,"United States","media, automotive","Media & Entertainment",NA
